,date_published,headline,publisher,description,category,keywords
10,2023-01-30T14:36:19Z,Patrick Mahomes and Jalen Hurts to be first Black quarterbacks to face off at the Super Bowl,CNN,"The matchup between the Kansas City Chiefs and Philadelphia Eagles will be the first in Super Bowl history to feature two Black starting quarterbacks, as Patrick Mahomes and Jalen Hurts bid to lead their teams to glory on the biggest stage of all.",sport,"football (american), football (american) events, iab-american football, iab-sports, nfl, patrick mahomes, sports and recreation, sports events, sports figures, sports organizations and teams, super bowl"
11,2023-01-30T11:34:05Z,Donna Kelce becomes first mother to have two sons play against each other in the Super Bowl,CNN,"Seeing your children succeed is what every parent wants. But for Donna Kelce, the success of both her sons will provide a conflict of interest.",sport,"football (american), football (american) events, iab-american football, iab-sports, nfl, sports and recreation, sports events, sports organizations and teams, super bowl"
12,2023-01-30T13:13:15Z,Ilia Malinin: 18-year-old ‘quadgod’ wins first US figure skating championships title,CNN,"Teenager Ilia Malinin won his first US figure skating championships title on Sunday, even though he was unable to nail his ambitious free skate program.",sport,"competitive ice skating, figure skating, iab-figure skating, iab-sports, sports and recreation"
13,2023-01-30T13:06:20Z,Former New Zealand rugby player Campbell Johnstone becomes first All Black to come out as gay,CNN,"Former New Zealand rugby player Campbell Johnstone became the first All Black to come out publicly as gay, in an interview with TVNZ’s Seven Sharp on Monday.",sport,"coming out, continents and regions, demographic groups, domestic alerts, domestic-international news, iab-rugby, iab-sports, lgbtq people, new zealand, oceania, population and demographics, rugby, sex and gender, society, sports and recreation"
14,2023-01-30T03:12:25Z,Kansas City Chiefs to face Philadelphia Eagles in Super Bowl LVII,CNN,"The Kansas City Chiefs are advancing to Super Bowl LVII following a 23-20 victory over the Cincinnati Bengals in the AFC Championship game on Sunday at Arrowhead Stadium in Kansas City, Missouri.",sport,"afc west, american football conference, continents and regions, domestic alerts, domestic-us news, football (american), football (american) events, iab-american football, iab-sports, international alerts, international-us news, kansas city, kansas city chiefs, midwestern united states, missouri, national football conference, nfc east, nfc west, nfl, north america, patrick mahomes, philadelphia eagles, san francisco 49ers, sports and recreation, sports events, sports figures, sports organizations and teams, super bowl, the americas, united states"
15,2023-01-30T10:52:36Z,NBA referees admit to ‘gut-wrenching’ mistake in Lakers-Celtics game as Dennis Schröder calls for officials to be fined,CNN,"The fallout from the egregious no-call in the final second of Saturday’s game between the Los Angeles Lakers game and the Boston Celtics shows no sign of ending, with the official NBA Referees Twitter account admitting to the error on Sunday",sport,
16,2023-01-30T05:00:25Z,How Russia misread Germany’s growing influence,CNN,"Two years ago, Moscow eyed a US-German standoff over the Nord Stream 2 gas pipeline as a litmus test of transatlantic power.",world,"brand safety-nsf sensitive, brand safety-nsf war and military, continents and regions, domestic alerts, domestic-international news, domestic-us politics, eastern europe, europe, germany, government organizations - intl, iab-politics, international alerts, international-us politics, joe biden, moscow, nato, north america, olaf scholz, political figures - intl, political figures - us, russia, russia-ukraine conflict, the americas, ukraine, united states, unrest, conflicts and war, vladimir putin, western europe"
17,2023-01-30T10:33:15Z,‘I’m just here for the comments’: Empire State Building riles New Yorkers after celebrating Super Bowl-bound Philadelphia Eagles’ win,CNN,The Empire State Building was lit in green and white to celebrate the Philadelphia Eagles’ victory in the NFC Championship game on Sunday – a decision that’s sparked a bit of a backlash in the Big Apple.,sport,"buildings and structures, empire state building, football (american), football (american) events, iab-american football, iab-sports, national football conference, nfc east, nfl, philadelphia eagles, points of interest, skyscrapers, sports and recreation, sports events, sports organizations and teams, super bowl"
18,2023-01-30T09:59:43Z,Novak Djokovic says he ‘emotionally collapsed’ after Australian Open win,CNN,"For almost two decades, we have become accustomed to Novak Djokovic winning grand slams. But seeing the world No. 1 sobbing on the floor as he celebrated his Australian Open victory with his family and team was a first. He would later say he had “emotionally collapsed.”",sport,"australian open, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, professional tennis, sports and recreation, sports events, sports figures, tennis, tennis events"
19,2023-01-30T05:00:51Z,Ukraine is relying on Soviet-era tanks to hold the line until Western reinforcements arrive,CNN,"Dug in amid the rolling hills west of Bakhmut, the tanks of the Ukrainian army’s 28th Mechanized Brigade are helping to hold the line against a growing Russian offensive.",world,"accidents, disasters and safety, armed forces, brand safety-nsf accidents and disasters, brand safety-nsf sensitive, brand safety-nsf war and military, brand safety-nsf weapons, continents and regions, domestic alerts, domestic-international news, eastern europe, europe, fires, military, military operations, military weapons, russia, russia-ukraine conflict, ukraine, unrest, conflicts and war, weapons and arms"
20,2023-01-29T09:19:21Z,NFL Playoffs: Philadelphia Eagles heading to Super Bowl with dominant victory over San Francisco 49ers,CNN,"The Philadelphia Eagles defeated the San Francisco 49ers, 31-7, on Sunday at Lincoln Financial Field in Philadelphia, to advance to Super Bowl LVII.",sport,"football (american), football (american) events, iab-american football, iab-sports, national football conference, nfc east, nfc west, nfl, patrick mahomes, philadelphia eagles, san francisco 49ers, sports and recreation, sports events, sports figures, sports organizations and teams, super bowl"
21,2023-01-29T20:44:06Z,"Star UGA quarterback Stetson Bennett arrested in Texas for public intoxication, police say",CNN,"University of Georgia quarterback Stetson Bennett was arrested early Sunday in Dallas for public intoxication, according to the Dallas Police.",sport,"arrests, brand safety-nsf crime, brand safety-nsf sensitive, continents and regions, crime, law enforcement and corrections, criminal law, domestic alerts, domestic-us news, football (american), iab-american football, iab-crime, iab-law, iab-sports, international alerts, international-us news, law and legal system, law enforcement, north america, southwestern united states, sports and recreation, texas, the americas, united states"
22,2023-01-29T05:30:39Z,Russian teen faces years in jail over social media post criticizing war in Ukraine,CNN,Olesya Krivtsova sports an anti-Putin tattoo on one ankle and a bracelet that tracks her every move on the other.,world,
23,2023-01-29T15:58:55Z,Roger Federer’s photo with Blackpink goes viral with more than a million likes,CNN,Blink and you would have missed it.,sport,"celebrities, domestic alerts, domestic-business, domestic-entertainment, iab-computing, iab-internet, iab-social networking, iab-sports, iab-technology & computing, iab-tennis, international alerts, international-business, international-entertainment, internet and www, pink (entertainer), roger federer, social media, sports figures, technology"
24,2023-01-29T09:14:49Z,UK Prime Minister Rishi Sunak fires Conservative Party chairman Nadhim Zahawi over tax scandal,CNN,"UK Prime Minister Rishi Sunak bowed to pressure on Sunday by firing the Conservative Party chairman Nadhim Zahawi for a “serious breach” of the Ministerial Code, following days of criticism over his personal tax arrangements.",world,
25,2023-01-29T11:42:55Z,Novak Djokovic beats Stefanos Tsitsipas to win 10th Australian Open title and record-equaling 22nd grand slam,CNN,"The result was familiar, the ease with which it was achieved somewhat of a surprise. The historic implications of this match certainly did not shackle Novak Djokovic as the Serb beat Stefanos Tsitsipas in straight sets to win a 10th Australian Open title and a record-equaling 22nd grand slam.",sport,"australian open, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, professional tennis, sports and recreation, sports events, sports figures, stefanos tsitsipas, tennis, tennis events"
26,2023-01-29T10:31:32Z,‘We got cheated’: LA Lakers furious after missed foul in loss to Boston Celtics,CNN,"LeBron James was left hunched on the court in frustration after referees missed a foul on his attempted game-winning layup, and the Los Angeles Lakers succumbed to a 125-121 overtime loss against the Boston Celtics.",sport,"basketball, boston celtics, iab-basketball, iab-sports, lebron james, los angeles lakers, nba, nba atlantic division, nba eastern conference, nba pacific division, nba western conference, sports and recreation, sports figures, sports organizations and teams"
27,2023-01-29T01:16:13Z,Bills safety Damar Hamlin thanks first responders and fans in first public speech since suffering cardiac arrest,CNN,Buffalo Bills safety Damar Hamlin spoke publicly on Saturday for the first time since suffering a cardiac arrest on the field earlier this month in a video posted on social media.,sport,"brand safety-nsf health issues, brand safety-nsf sensitive, cardiovascular disease, damar hamlin, diseases and disorders, domestic alerts, domestic-health and science, health and medical, heart disease, iab-diseases and conditions, iab-heart and cardiovascular diseases, iab-medical health, international alerts, international-health and science, labor and employment, public safety workers, sports figures, workers and professionals"
28,2023-01-28T23:36:59Z,Novak Djokovic faces Stefanos Tsitsipas in Australian Open final with records on the line,CNN,"It all comes down to this. With history and a spot at the top of the world rankings on the line, Novak Djokovic faces Stefanos Tsitsipas in the Australian Open men’s final on Sunday.",sport,"australian open, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, professional tennis, sports and recreation, sports events, sports figures, stefanos tsitsipas, tennis, tennis events"
29,2023-01-28T05:08:08Z,Does the West’s decision to arm Ukraine with tanks bring it closer to war with Russia?,CNN,The West’s decision to finally send tanks to Ukraine has caused some to ask the uncomfortable question: Does this mean that NATO is now in direct conflict with Russia?,world,
30,2023-01-28T18:43:04Z,‘Our city is hurting.’ Memphis Grizzlies head coach leads NBA tributes to Tyre Nichols,CNN,"The head coach of the Memphis Grizzlies joined other members of the NBA community Friday night in acknowledging the “senseless loss” of Tyre Nichols, saying the Black man’s death following an encounter with Memphis police has hit his team hard.",sport,"basketball, brand safety-nsf crime, brand safety-nsf death, brand safety-nsf sensitive, brand safety-nsf violence, coaches and trainers, continents and regions, death and dying, domestic alerts, domestic-us news, iab-basketball, iab-bereavement, iab-crime, iab-family and relationships, iab-sports, international alerts, international-us news, memphis, memphis grizzlies, misc people, nba, nba southwest division, nba western conference, north america, society, southeastern united states, sports and recreation, sports organizations and teams, tennessee, the americas, tyre nichols, united states"
31,2023-01-28T15:50:15Z,Retired Czech general Petr Pavel wins presidential election,CNN,Former army chief and high NATO official Petr Pavel won the Czech Republic’s presidential election on Saturday with a pledge to keep the country firmly anchored in the West and bridge society’s political differences.,world,"andrej babis, elections and campaigns, government and public administration, iab-elections, iab-politics, political figures - intl, politics, russia-ukraine conflict, unrest, conflicts and war"
32,2023-01-28T12:42:49Z,Hollywood stars Ryan Reynolds and Rob McElhenney revel in FA Cup’s enchantment,CNN,"When Ryan Reynolds and Rob McElhenney took control of lower league soccer club Wrexham AFC in 2021, it was widely assumed that it was the Hollywood stars who would be bringing the magic.",sport,
33,2023-01-28T15:57:57Z,15-year-old Isabeau Levito wins US figure skating title,CNN,Teenager Isabeau Levito underlined her status as a future Olympian by winning her first US figure skating title.,sport,"competitive ice skating, figure skating, iab-figure skating, iab-sports, sports and recreation"
34,2023-01-28T12:28:28Z,"Mo Salah ‘suffering’ due to inconsistent Liverpool attack, says Jurgen Klopp",CNN,"Mo Salah was Liverpool’s figurehead, his goalscoring prowess the capstone of a team accustomed to winning trophies.",sport,"continents and regions, england, europe, jurgen klopp, liverpool, mohamed salah, northern europe, sports figures, united kingdom"
35,2023-01-28T13:28:27Z,Patrick Mahomes will start AFC Championship game despite ankle sprain,CNN,"Star quarterback Patrick Mahomes will start for the Kansas City Chiefs when they face the Cincinnati Bengals in the AFC Championship Game on Sunday, despite suffering a high ankle sprain last week.",sport,"afc championship game, american football conference, football (american), football (american) events, iab-american football, iab-sports, nfl, patrick mahomes, sports and recreation, sports events, sports figures, sports organizations and teams"
36,2023-01-28T11:14:27Z,Aryna Sabalenka defeats Elena Rybakina to win thrilling women’s Australian Open final,CNN,"Belarusian-born Aryna Sabalenka defeated Elena Rybakina in three sets to win a thrilling women’s Australian Open final Saturday, becoming the first player competing under a neutral flag to secure a grand slam.",sport,"australian open, grand slam tournaments, iab-sports, iab-tennis, professional tennis, sports and recreation, sports events, tennis, tennis events"
37,2023-01-28T13:16:31Z,Search underway for missing radioactive capsule in Western Australia,CNN,Officials have warned the public of the risks in touching a small capsule containing a radioactive substance that was lost during transportation in Western Australia.,world,"australia, continents and regions, domestic alerts, domestic-international news, oceania, perth"
38,2023-01-28T09:12:33Z,Sprinting great Usain Bolt says ‘stressful situation’ trying to recover lost millions,CNN,World 100 and 200 meters record holder Usain Bolt said on Friday that it was a “stressful situation” trying to recover more than $12.7 million that has disappeared from his account with a Jamaican investment firm.,sport,"iab-sports, iab-track and field, sports and recreation, sports figures, track and field, usain bolt"
39,2023-01-28T05:15:48Z,Berlin made the historic move to arm Ukraine. But many Germans are uneasy,CNN,"The biggest moment in the Ukraine war this week took place hundreds of miles from the battlefield. After days of diplomatic pressure from its increasingly exasperated NATO allies, Germany announced Wednesday that it would send Leopard 2 tanks to Ukraine, a potentially pivotal move in the conflict that could decisively tip the balance in Kyiv’s favor.",world,
40,2023-01-28T05:30:08Z,British army serviceman charged with terrorism offenses,CNN,"A British serviceman was charged with terrorism and explosives offenses, the London Metropolitan Police said Friday.",world,"armed forces, brand safety-nsf crime, brand safety-nsf sensitive, brand safety-nsf terrorism, brand safety-nsf war and military, crime, law enforcement and corrections, criminal offenses, iab-crime, iab-politics, iab-war and conflicts, international relations and national security, military, national security, terrorism, terrorism and counter-terrorism, unrest, conflicts and war"
41,2023-01-27T05:00:39Z,Ukraine’s new tanks won’t be the instant game-changer some expect,CNN,Those hoping that main battle tanks donated by NATO allies to Ukraine will have an immediate impact in its war with Russia may have to adjust their expectations.,world,"armed forces, brand safety-nsf sensitive, brand safety-nsf war and military, continents and regions, domestic alerts, domestic-international news, domestic-us politics, eastern europe, europe, germany, government organizations - intl, international alerts, international-us politics, military, military operations, nato, north america, northern europe, russia, russia-ukraine conflict, the americas, ukraine, united kingdom, united states, unrest, conflicts and war, western europe"
42,2023-01-28T00:55:08Z,"Every year, ‘Invasion Day’ forces Australia to confront some painful truths",CNN,Musician Fred Leone sings traditional songs to the steady beat of clap sticks that echo through the empty streets as the sun rises on what he calls a “hard day for Blackfellas.”,world,"australia, continents and regions, domestic alerts, domestic-international news, elections and campaigns, government and public administration, iab-elections, iab-politics, indigenous issues, minority and ethnic groups, oceania, politics, referendums, society"
43,2023-01-27T16:19:19Z,British teenager who made far-right hate videos ‘influencing’ Buffalo shooter jailed for 11 years,CNN,"A British teenager who made far-right extremist videos that “influenced” the mass shooter who killed 10 Black people in a Buffalo, New York, supermarket was jailed for 11 and a half years Friday, the UK’s PA Media news agency reported.",world,"2022 buffalo supermarket shooting, brand safety-nsf crime, brand safety-nsf death, brand safety-nsf sensitive, brand safety-nsf severe, brand safety-nsf violence, brand safety-nsf weapons, buffalo, continents and regions, crime, law enforcement and corrections, crimes against persons, criminal offenses, domestic alerts, domestic-us news, europe, homicide, iab-crime, iab-law, international alerts, international-us news, mass murder, misc people, murder, new york (state), north america, northeastern united states, northern europe, payton gendron, shootings, the americas, united kingdom, united states"
44,2023-01-27T10:57:08Z,"Decision not to appoint Steve Wilks as Carolina Panthers’ head coach points to a ‘legitimate race problem in the NFL,’ say his attorneys",CNN,"The Carolina Panthers’ decision to overlook Steve Wilks and appoint someone else as their new head coach points to a “legitimate race problem in the NFL,” the former interim coach’s attorneys say.",sport,"appointments, carolina panthers, coaches and trainers, football (american), iab-american football, iab-law, iab-sports, law and legal system, national football conference, nfc south, nfl, sports and recreation, sports organizations and teams"
45,2023-01-27T16:56:26Z,Novak Djokovic says his father had ‘no intention whatsoever to support any kind of war initiatives’,CNN,"Novak Djokovic said his father, Srdjan, had “no intention” of supporting any kind of “war initiatives” after being filmed with a group of Russian supporters at the Australian Open.",sport,"australian open, continents and regions, eastern europe, europe, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, professional tennis, russia, sports and recreation, sports events, sports figures, tennis, tennis events"
46,2023-01-27T16:17:29Z,German parliament officially commemorates LGBTQ victims of Nazi regime for first time,CNN,The German parliament for the first time on Friday focused its annual Holocaust memorial commemorations on people persecuted and killed over their sexual or gender identity during World War II.,world,"brand safety-nsf crime, brand safety-nsf death, brand safety-nsf other, brand safety-nsf sensitive, brand safety-nsf violence, continents and regions, demographic groups, domestic alerts, domestic-international news, europe, germany, government and public administration, government bodies and offices, holocaust, iab-crime, iab-law, iab-politics, legislative bodies, lgbtq people, politics, population and demographics, sex and gender, society, western europe"
47,2023-01-27T08:50:29Z,Quarterbacks in the NFL playoffs are getting younger. Here’s why their age is important,CNN,"As British two-tone band The Specials once sang: “You’ve done too much, much too young.”",sport,
48,2023-01-26T16:24:31Z,Vinícius Jr. scores against Atlético Madrid after effigy of Black soccer star hanged from bridge in Madrid,CNN,Vinícius Jr. scored against Atlético Madrid in Real Madrid’s 3-1 Copa del Rey quarterfinal victory on Thursday after an effigy of the star was hanged from a bridge in Madrid prior to the match.,sport,"arts and entertainment, brand safety-nsf crime, brand safety-nsf discrimination, brand safety-nsf sensitive, brand safety-nsf violence, bridges and tunnels, business and industry sectors, business, economy and trade, continents and regions, crime, law enforcement and corrections, crimes against persons, criminal law, criminal offenses, dancers and dancing, discrimination, domestic alerts, domestic-business, domestic-international news, europe, football (soccer), hate crimes, iab-computing, iab-crime, iab-dance, iab-fine art, iab-internet, iab-law, iab-soccer, iab-social networking, iab-sports, iab-technology & computing, international alerts, international-business, internet and www, la liga, law and legal system, madrid, music and dance, racism and racial discrimination, real madrid cf, social media, societal issues, society, southern europe, spain, sports and recreation, sports organizations and teams, technology, transportation and warehousing, transportation infrastructure, violence in society"
49,2023-01-26T19:46:02Z,Tanks for Ukraine once seemed unthinkable. Could fighter jets be next?,CNN,"With tanks checked off the list, Ukrainian leaders have renewed their public appeals for Western fighter jets.",world,
50,2023-01-27T13:04:34Z,Is Prince Andrew planning to revisit his US sex abuse case?,CNN,You might get a sense of deja vu with this edition of Royal News. Long-time readers will probably recall the scandal that engulfed Britain’s royal family this time last year as Prince Andrew faced legal action in the United States over alleged historical sexual abuse.,world,"arts and entertainment, brand safety-nsf crime, brand safety-nsf mature, brand safety-nsf sensitive, brand safety-nsf violence, british royal family, broadcasting industry, business and industry sectors, business figures, business, economy and trade, cable and television industry, celebrities, continents and regions, crime, law enforcement and corrections, crimes against persons, criminal offenses, domestic alerts, domestic-entertainment, domestic-international news, domestic-us news, europe, iab-business and finance, iab-crime, iab-entertainment, iab-entertainment industry, iab-industries, iab-law, iab-media industry, iab-television, international alerts, international-entertainment, international-us news, jeffrey epstein, media industry, misc people, north america, northern europe, prince andrew, prince charles, prince edward, princess eugenie, royalty and monarchy, sex crimes, sexual assault, sexual misconduct, societal issues, society, television programming, the americas, united kingdom, united states, violence in society, virginia giuffre"
51,2023-01-27T13:01:41Z,"Ukraine could boycott Olympics if Russians allowed back, says sports minister",CNN,"Ukraine would not rule out boycotting the Olympic Games if Russian and Belarusian athletes are allowed to compete in the Paris 2024 Games, its sports minister said.",sport,"athletes, boycotts, continents and regions, domestic alerts, domestic-international news, eastern europe, europe, iab-olympic sports, iab-sports, olympics, russia, russia-ukraine conflict, sports and recreation, sports events, ukraine, unrest, conflicts and war"
52,2023-01-27T11:07:08Z,Novak Djokovic through to Australian Open final and on course to equal Rafael Nadal’s all-time grand slam record,CNN,"Novak Djokovic remains on course to win a record-equaling 22nd grand slam title after beating American Tommy Paul in straight sets in the Australian Open semifinals Friday, setting up a mouthwatering final with Stefanos Tsitsipas.",sport,"australian open, continents and regions, eastern europe, europe, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, political figures - intl, professional tennis, rafael nadal, russia, sports and recreation, sports events, sports figures, stefanos tsitsipas, tennis, tennis events, vladimir putin"
53,2023-01-27T10:21:08Z,Former Detroit Lions and Los Angeles Chargers linebacker Jessie Lemonier dies aged 25,CNN,"Former Detroit Lions and Los Angeles Chargers linebacker Jessie Lemonier died on Thursday aged 25, according to a statement from the Lions.",sport,"afc west, american football conference, detroit lions, football (american), iab-american football, iab-sports, los angeles chargers, national football conference, nfc north, nfl, sports and recreation, sports organizations and teams"
54,2023-01-26T12:38:54Z,Novak Djokovic’s father poses with fan wearing pro-Russia ‘Z’ symbol,CNN,"The Australian Open told CNN it has “briefed and reminded” players and their entourages about the tournament’s “policy regarding flags and symbols” on Thursday after video emerged on Wednesday of Novak Djokovic’s father, Srdjan, pictured at a demonstration with fans holding Russian flags, voicing his support for Russia.",sport,"australian open, continents and regions, domestic alerts, domestic-international news, eastern europe, europe, grand slam tournaments, iab-sports, iab-tennis, novak djokovic, political figures - intl, professional tennis, russia, russia-ukraine conflict, sports and recreation, sports events, sports figures, tennis, tennis events, ukraine, unrest, conflicts and war, vladimir putin"
55,2023-01-26T12:28:55Z,Russia strikes Ukraine’s cities hours after Western countries pledge tanks to Kyiv,CNN,"Ukraine has urged the West to get military hardware into the hands of its troops as quickly as possible, as Russia fired missiles toward Kyiv and other Ukrainian cities just hours after Germany and the US announced their plans to provide modern tanks to the country.",world,"aircraft, aviation and aerospace industry, brand safety-nsf sensitive, brand safety-nsf war and military, brand safety-nsf weapons, business and industry sectors, business, economy and trade, continents and regions, domestic alerts, domestic-international news, eastern europe, europe, germany, iab-aviation industry, iab-business and finance, iab-industries, iab-power and energy industry, kyiv, military, military aircraft, military weapons, missile systems, political figures - intl, russia, russia-ukraine conflict, ukraine, unrest, conflicts and war, vladimir putin, volodymyr zelensky, weapons and arms, western europe"
56,2023-01-26T18:04:24Z,English clubs spent $2.2 billion on transfers in 2022,CNN,"Global football’s governing body FIFA released its Global Transfer Report for 2022 on Thursday, revealing the dominance of English clubs in the transfer market and the growing professionalization of women’s football around the world.",sport,
57,2023-01-26T17:11:16Z,Turkey says Sweden was complicit in burning of Quran amid tension over NATO membership bid,CNN,"The Swedish government was complicit in the burning of the Quran at a protest in Stockholm last weekend, Turkish Foreign Minister Mevlüt Çavuşoğlu reportedly said Thursday.",world,"belief, religion and spirituality, brand safety-nsf other, brand safety-nsf religion, brand safety-nsf sensitive, brand safety-nsf war and military, civil disobedience, continents and regions, domestic alerts, domestic-international news, europe, finland, government organizations - intl, iab-islam, iab-politics, iab-religion & spirituality, international relations, international relations and national security, islam, middle east, middle east and north africa, nato, northern europe, protests and demonstrations, quran and islamic texts, religious groups, religious texts, society, sweden, turkey"
58,2023-01-26T14:41:36Z,Iranian chess player Sara Khadem ‘inspires’ Spanish Prime Minister Pedro Sánchez,CNN,"Spain’s Prime Minister Pedro Sánchez says he’s been inspired by Iranian chess player Sara Khadem, who recently took part in an international tournament without a hijab.",sport,"board games, business and industry sectors, business, economy and trade, consumer products, continents and regions, demographic groups, domestic alerts, domestic-international news, iab-board games and puzzles, iab-children's games and toys, iab-games and puzzles, iab-hobbies & interests, iab-shopping, iran, leisure and lifestyle, middle east, middle east and north africa, muslim people, population and demographics, society, toys and games"
59,2023-01-26T14:37:20Z,Azerbaijan calls for sanctions over tennis player’s pro-Armenia messages at the Australian Open,CNN,Azerbaijan’s tennis federation has called for Karen Khachanov to be sanctioned after the Russian player expressed support for the Armenian-majority population living in the disputed Nagorno-Karabakh region at the Australian Open.,sport,"armenia, athletes, australian open, azerbaijan, caucasus, continents and regions, domestic alerts, domestic-international news, eastern europe, embargoes and sanctions, europe, grand slam tournaments, iab-politics, iab-sports, iab-tennis, international relations, international relations and national security, nagorno-karabakh, professional tennis, russia, south caucasus, sports and recreation, sports events, tennis, tennis events"
60,2023-01-26T12:20:17Z,"Mikaela Shiffrin: ‘Holy crap, that was really good skiing!’ Mom tells US skier after she breaks landmark record",CNN,American skiing star Mikaela Shiffrin is having quite the 2023 – and it could get even better before the end of January.,sport,
